epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4679.46,0.59403,1.20882,0.95971,0.60287,0.50815,0.49475,0.34032,0.70731,1.7481,0.98288,9.41615e-05,9.41615e-05,9.41615e-05
43,4789.24,0.5869,1.17752,0.95742,0.6126,0.5051,0.50207,0.34207,0.69131,1.74752,0.98125,8.56185e-05,8.56185e-05,8.56185e-05
44,4899.19,0.58986,1.18144,0.95757,0.53587,0.55576,0.51426,0.34685,0.69836,1.76802,0.98931,7.73946e-05,7.73946e-05,7.73946e-05
45,5009.14,0.58333,1.16701,0.95396,0.59657,0.53788,0.51986,0.3478,0.6978,1.72813,0.98031,6.95121e-05,6.95121e-05,6.95121e-05
46,5118.55,0.57727,1.13542,0.94576,0.55208,0.55178,0.51513,0.35139,0.68561,1.73695,0.97518,6.19929e-05,6.19929e-05,6.19929e-05
47,5228.56,0.57884,1.13678,0.94894,0.68047,0.51161,0.50621,0.34914,0.67996,1.74633,0.96992,5.48573e-05,5.48573e-05,5.48573e-05
48,5338.73,0.57316,1.12504,0.94528,0.57886,0.51605,0.50965,0.34956,0.69247,1.72489,0.97627,4.81251e-05,4.81251e-05,4.81251e-05
49,5448.34,0.57248,1.11593,0.94436,0.57219,0.56535,0.53187,0.35553,0.69044,1.74129,0.97755,4.18146e-05,4.18146e-05,4.18146e-05
50,5558.55,0.5723,1.12477,0.94521,0.57995,0.55517,0.52019,0.35184,0.6802,1.74791,0.97284,3.59432e-05,3.59432e-05,3.59432e-05
51,5678.19,0.50239,0.88813,0.87893,0.68942,0.46979,0.51622,0.34646,0.69976,1.74666,0.97931,3.0527e-05,3.0527e-05,3.0527e-05
