epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31718.4,0.62964,1.8188,1.06957,0.74189,0.46041,0.50538,0.35597,0.7224,2.2511,1.02518,0.000169948,0.000169948,0.000169948
43,32472.4,0.62695,1.8051,1.06507,0.64606,0.48724,0.50468,0.35527,0.72427,2.24833,1.02714,0.000163157,0.000163157,0.000163157
44,33225,0.61969,1.77785,1.05936,0.61277,0.54449,0.52213,0.36474,0.72461,2.22988,1.02766,0.000156387,0.000156387,0.000156387
45,33977.6,0.61634,1.75834,1.05915,0.64705,0.52874,0.52135,0.36095,0.72529,2.253,1.03091,0.000149648,0.000149648,0.000149648
46,34730.4,0.60818,1.73346,1.04982,0.60586,0.55832,0.51762,0.35685,0.71998,2.23032,1.02314,0.000142951,0.000142951,0.000142951
47,35484.2,0.60702,1.72387,1.05194,0.63242,0.54485,0.51576,0.36156,0.72356,2.24126,1.02635,0.000136306,0.000136306,0.000136306
48,36250.2,0.60297,1.70014,1.04785,0.62749,0.5413,0.51703,0.36255,0.72541,2.27125,1.02814,0.000129723,0.000129723,0.000129723
49,37016.5,0.60062,1.69809,1.04637,0.63107,0.52529,0.5095,0.35635,0.72383,2.27965,1.02902,0.000123213,0.000123213,0.000123213
50,37777.7,0.59297,1.67266,1.043,0.64288,0.52913,0.5106,0.35683,0.7264,2.29221,1.03313,0.000116785,0.000116785,0.000116785
51,38538.8,0.58974,1.65424,1.03917,0.60807,0.51926,0.50704,0.35438,0.72553,2.30438,1.03177,0.00011045,0.00011045,0.00011045
52,39298.8,0.5863,1.64196,1.03659,0.70964,0.48166,0.50233,0.35176,0.7259,2.29472,1.03275,0.000104217,0.000104217,0.000104217
53,40058.2,0.58126,1.62575,1.03254,0.71828,0.47079,0.49795,0.34881,0.72541,2.30648,1.03122,9.80961e-05,9.80961e-05,9.80961e-05
54,40808.3,0.57824,1.61847,1.03191,0.64605,0.48179,0.49613,0.34733,0.72422,2.3049,1.03038,9.20964e-05,9.20964e-05,9.20964e-05
55,41557.8,0.57234,1.60412,1.02819,0.59638,0.49343,0.49593,0.34656,0.722,2.30219,1.02843,8.62271e-05,8.62271e-05,8.62271e-05
56,42310.3,0.56896,1.59801,1.02655,0.5628,0.49892,0.4906,0.34682,0.72225,2.3088,1.02909,8.04975e-05,8.04975e-05,8.04975e-05
57,43063.3,0.56199,1.5642,1.02152,0.55437,0.50642,0.49098,0.34621,0.72268,2.31702,1.03055,7.49162e-05,7.49162e-05,7.49162e-05
58,43814.1,0.56131,1.56597,1.02006,0.57023,0.49711,0.49072,0.3463,0.72318,2.32453,1.03155,6.9492e-05,6.9492e-05,6.9492e-05
59,44565.7,0.55751,1.55144,1.0193,0.55063,0.51692,0.48839,0.34584,0.72258,2.32985,1.03145,6.42331e-05,6.42331e-05,6.42331e-05
60,45316.1,0.55051,1.52341,1.01656,0.52463,0.52587,0.49182,0.34681,0.72275,2.33406,1.03142,5.91478e-05,5.91478e-05,5.91478e-05
61,46067.8,0.54958,1.51105,1.01305,0.53308,0.50921,0.49267,0.34798,0.7224,2.32576,1.03191,5.42438e-05,5.42438e-05,5.42438e-05
62,46817.6,0.54821,1.51268,1.01409,0.54148,0.50577,0.4901,0.34676,0.72274,2.33135,1.03288,4.95286e-05,4.95286e-05,4.95286e-05
63,47570.2,0.54607,1.50772,1.01144,0.54621,0.50512,0.49035,0.34688,0.72327,2.33326,1.03367,4.50097e-05,4.50097e-05,4.50097e-05
64,48323.7,0.5393,1.48884,1.00578,0.55737,0.49939,0.49025,0.34673,0.72372,2.33893,1.03381,4.06938e-05,4.06938e-05,4.06938e-05
65,49076.3,0.53915,1.48181,1.00624,0.68705,0.44699,0.48936,0.3465,0.72346,2.34153,1.03378,3.65878e-05,3.65878e-05,3.65878e-05
66,49839.1,0.45829,1.06794,0.92769,0.68142,0.44649,0.49098,0.34655,0.72289,2.33769,1.03372,3.26979e-05,3.26979e-05,3.26979e-05
67,50590.7,0.45693,1.06032,0.92486,0.55993,0.49731,0.49024,0.34631,0.72313,2.34056,1.03415,2.90301e-05,2.90301e-05,2.90301e-05
68,51342.4,0.4497,1.04816,0.92045,0.55874,0.49449,0.48976,0.34662,0.72337,2.34206,1.0344,2.55901e-05,2.55901e-05,2.55901e-05
69,52092.9,0.449,1.04668,0.92087,0.56259,0.4952,0.49121,0.3472,0.72423,2.34687,1.03515,2.23831e-05,2.23831e-05,2.23831e-05
